epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,372.766,0.93663,0.68248,1.12244,0.84907,0.74884,0.85669,0.62475,0.93314,0.80457,1.13925,0.000848969,0.000848969,0.000848969
43,381.687,0.92789,0.69592,1.13465,0.80446,0.7627,0.84294,0.60718,0.92716,0.79278,1.12657,0.000834822,0.000834822,0.000834822
44,390.689,0.9263,0.65756,1.11489,0.83692,0.75664,0.86167,0.61722,0.93432,0.79206,1.13696,0.000820675,0.000820675,0.000820675
45,399.738,0.94026,0.66653,1.12591,0.81911,0.76185,0.86576,0.62213,0.94015,0.78006,1.13978,0.000806528,0.000806528,0.000806528
46,408.77,0.95643,0.67196,1.11672,0.81057,0.78286,0.85098,0.61674,0.92609,0.79419,1.13916,0.00079238,0.00079238,0.00079238
47,417.887,0.91574,0.64122,1.11406,0.83001,0.76392,0.85983,0.62646,0.92042,0.7698,1.15042,0.000778233,0.000778233,0.000778233
48,426.905,0.92458,0.69567,1.11868,0.81027,0.7667,0.85683,0.62259,0.92913,0.80725,1.13709,0.000764086,0.000764086,0.000764086
49,435.912,0.91789,0.6746,1.10546,0.83744,0.7881,0.87592,0.63601,0.93568,0.76902,1.13381,0.000749939,0.000749939,0.000749939
50,444.897,0.92168,0.64286,1.10371,0.82059,0.79397,0.87282,0.63798,0.90844,0.74979,1.10641,0.000735792,0.000735792,0.000735792
51,453.94,0.93546,0.66391,1.10891,0.8532,0.76967,0.86821,0.63384,0.91977,0.73845,1.13146,0.000721645,0.000721645,0.000721645
52,463.04,0.93651,0.63762,1.09372,0.84162,0.76855,0.87083,0.62794,0.92717,0.81285,1.14474,0.000707498,0.000707498,0.000707498
53,472.065,0.9241,0.65135,1.09909,0.84365,0.75541,0.86123,0.62556,0.91334,0.781,1.13124,0.000693351,0.000693351,0.000693351
54,481.046,0.93228,0.64929,1.10889,0.83455,0.74042,0.84196,0.61873,0.91722,0.84849,1.14221,0.000679204,0.000679204,0.000679204
55,490.114,0.90422,0.64854,1.10039,0.81259,0.81012,0.87422,0.63445,0.93142,0.75451,1.15193,0.000665057,0.000665057,0.000665057
56,499.185,0.91692,0.63084,1.09574,0.84483,0.7597,0.86945,0.63303,0.92643,0.79356,1.13238,0.000650909,0.000650909,0.000650909
57,508.163,0.90029,0.6212,1.09059,0.83811,0.75411,0.85808,0.6308,0.92782,0.82668,1.1377,0.000636762,0.000636762,0.000636762
58,517.186,0.89178,0.62341,1.09279,0.87874,0.74132,0.87359,0.63934,0.91522,0.78893,1.12166,0.000622615,0.000622615,0.000622615
59,526.217,0.90362,0.62351,1.09094,0.79851,0.76599,0.84373,0.62644,0.91409,0.82432,1.12126,0.000608468,0.000608468,0.000608468
60,535.305,0.89466,0.61368,1.09236,0.80899,0.81003,0.86569,0.6313,0.92648,0.7547,1.14836,0.000594321,0.000594321,0.000594321
61,544.443,0.87439,0.59879,1.09062,0.86828,0.75339,0.86834,0.64151,0.91233,0.75953,1.113,0.000580174,0.000580174,0.000580174
62,553.436,0.85364,0.61509,1.09743,0.87211,0.75518,0.87389,0.64422,0.91525,0.77492,1.13839,0.000566027,0.000566027,0.000566027
63,562.525,0.88928,0.61102,1.09215,0.8556,0.73758,0.85883,0.63034,0.91045,0.79117,1.11747,0.00055188,0.00055188,0.00055188
64,571.594,0.89797,0.6007,1.07617,0.82379,0.76944,0.85379,0.62414,0.91681,0.78907,1.12409,0.000537733,0.000537733,0.000537733
65,580.771,0.86043,0.6095,1.07648,0.87006,0.77062,0.86477,0.63529,0.92213,0.77644,1.13804,0.000523586,0.000523586,0.000523586
66,589.881,0.88369,0.60436,1.08856,0.88444,0.73327,0.86179,0.63434,0.92928,0.8343,1.14695,0.000509438,0.000509438,0.000509438
67,598.885,0.85207,0.59208,1.06947,0.82891,0.78336,0.86383,0.63586,0.91463,0.75412,1.12168,0.000495291,0.000495291,0.000495291
68,607.981,0.86042,0.59563,1.07465,0.86002,0.78656,0.87233,0.64216,0.91907,0.75579,1.13352,0.000481144,0.000481144,0.000481144
69,617.167,0.86223,0.58323,1.07574,0.86261,0.74386,0.85359,0.63192,0.91402,0.79698,1.11889,0.000466997,0.000466997,0.000466997
70,626.214,0.84021,0.57643,1.07752,0.82862,0.76032,0.85957,0.63319,0.91819,0.77692,1.12528,0.00045285,0.00045285,0.00045285
71,635.229,0.86751,0.58078,1.08228,0.79435,0.74176,0.84207,0.61855,0.92921,0.88167,1.14312,0.000438703,0.000438703,0.000438703
72,644.359,0.82214,0.58114,1.07239,0.84126,0.76084,0.86487,0.63633,0.91917,0.80304,1.13135,0.000424556,0.000424556,0.000424556
73,653.552,0.83183,0.57352,1.08459,0.85548,0.74757,0.85592,0.63169,0.9165,0.79191,1.12397,0.000410409,0.000410409,0.000410409
74,662.708,0.8375,0.56755,1.07268,0.8205,0.75618,0.85584,0.63435,0.90682,0.79544,1.1235,0.000396262,0.000396262,0.000396262
75,671.775,0.86047,0.56223,1.07325,0.84358,0.785,0.86526,0.64201,0.91365,0.77391,1.12502,0.000382115,0.000382115,0.000382115
76,680.782,0.82733,0.56465,1.06792,0.85416,0.74875,0.85149,0.62493,0.91902,0.82144,1.13612,0.000367967,0.000367967,0.000367967
77,689.77,0.84724,0.5675,1.06863,0.85725,0.77628,0.86779,0.64109,0.91158,0.77425,1.11988,0.00035382,0.00035382,0.00035382
78,698.627,0.82378,0.54392,1.06955,0.80563,0.80679,0.85929,0.63724,0.90169,0.77444,1.1102,0.000339673,0.000339673,0.000339673
79,707.62,0.82336,0.5455,1.05903,0.82861,0.76952,0.85541,0.63557,0.91204,0.80887,1.11935,0.000325526,0.000325526,0.000325526
80,716.585,0.83489,0.55555,1.06821,0.83462,0.74604,0.85016,0.62528,0.91605,0.87559,1.13041,0.000311379,0.000311379,0.000311379
81,725.584,0.84805,0.56058,1.0736,0.86222,0.75961,0.86206,0.63261,0.91054,0.78907,1.11624,0.000297232,0.000297232,0.000297232
82,734.504,0.82879,0.55034,1.06852,0.83635,0.7458,0.84761,0.62238,0.92648,0.84276,1.12386,0.000283085,0.000283085,0.000283085
83,743.418,0.81446,0.54045,1.06521,0.87068,0.73275,0.85441,0.63303,0.92484,0.85591,1.13091,0.000268938,0.000268938,0.000268938
84,752.486,0.82746,0.5381,1.05999,0.86809,0.72273,0.85129,0.63417,0.90605,0.82464,1.12356,0.000254791,0.000254791,0.000254791
