epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.5084,1.01316,2.19619,1.26358,0.60326,0.53275,0.57175,0.37536,1.39531,3.83717,1.52568,9.72097e-05,9.72097e-05,9.72097e-05
2,76.3797,0.99118,2.16598,1.23695,0.56905,0.53062,0.54352,0.35489,1.4013,4.06788,1.54304,0.000191345,0.000191345,0.000191345
3,107.32,1.01776,2.3132,1.25451,0.52166,0.53625,0.52953,0.33917,1.43923,4.17829,1.59356,0.000281599,0.000281599,0.000281599
4,138.295,1.03191,2.45513,1.27812,0.5656,0.50427,0.52428,0.34053,1.41897,4.06249,1.51832,0.000276536,0.000276536,0.000276536
5,168.846,1.05157,2.41784,1.27499,0.60175,0.48917,0.5252,0.33806,1.45314,4.09273,1.58163,0.000270715,0.000270715,0.000270715
6,199.409,1.04751,2.48771,1.28474,0.56708,0.53328,0.53685,0.34035,1.47129,4.16745,1.5864,0.000264894,0.000264894,0.000264894
7,230,1.04643,2.36896,1.26635,0.54807,0.53212,0.54161,0.35877,1.40175,3.95197,1.54714,0.000259073,0.000259073,0.000259073
8,260.819,1.03543,2.33828,1.27075,0.52802,0.53038,0.53693,0.33905,1.46479,4.08163,1.58878,0.000253252,0.000253252,0.000253252
9,291.509,1.03608,2.39201,1.27567,0.53475,0.52671,0.52968,0.34338,1.43897,4.24192,1.5625,0.00024743,0.00024743,0.00024743
10,322.284,1.03999,2.35655,1.26756,0.57214,0.48888,0.52491,0.33672,1.46992,4.31397,1.61487,0.000241609,0.000241609,0.000241609
11,353.238,1.03503,2.3628,1.27077,0.54066,0.49988,0.52885,0.34318,1.42491,4.2746,1.5525,0.000235788,0.000235788,0.000235788
12,383.924,1.02656,2.32832,1.25994,0.593,0.50699,0.54354,0.34602,1.4757,3.96674,1.58879,0.000229967,0.000229967,0.000229967
13,414.613,1.03799,2.32392,1.26296,0.57552,0.54056,0.57277,0.37173,1.43126,4.04608,1.54258,0.000224146,0.000224146,0.000224146
14,445.21,1.03503,2.29828,1.26262,0.57348,0.5169,0.54567,0.37074,1.36453,4.10566,1.50224,0.000218324,0.000218324,0.000218324
15,475.91,1.01649,2.26175,1.25721,0.59781,0.45363,0.52093,0.34404,1.42871,4.33198,1.5635,0.000212503,0.000212503,0.000212503
16,506.543,1.02722,2.27167,1.25985,0.55252,0.55434,0.57244,0.37533,1.40615,4.01453,1.55201,0.000206682,0.000206682,0.000206682
17,537.117,1.01046,2.16361,1.24863,0.54491,0.55079,0.55884,0.36645,1.42642,4.18742,1.55849,0.000200861,0.000200861,0.000200861
