epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,567.803,0.9986,2.15162,1.24215,0.59913,0.51873,0.55522,0.36345,1.43394,4.11349,1.54942,0.00019504,0.00019504,0.00019504
19,598.186,1.00956,2.17792,1.24869,0.58329,0.54557,0.55595,0.36776,1.39495,4.15173,1.52952,0.000189218,0.000189218,0.000189218
20,627.566,0.98529,2.08704,1.23324,0.61654,0.51972,0.55267,0.36936,1.40742,4.44649,1.54644,0.000183397,0.000183397,0.000183397
21,656.836,0.99589,2.1408,1.24113,0.58255,0.50694,0.55626,0.36588,1.44638,4.28014,1.54879,0.000177576,0.000177576,0.000177576
22,686.217,0.9787,2.0556,1.23401,0.62682,0.52658,0.57542,0.37234,1.43281,4.32096,1.57102,0.000171755,0.000171755,0.000171755
23,715.698,1.00145,2.16384,1.24609,0.57373,0.48936,0.53836,0.35476,1.44061,4.66063,1.59584,0.000165934,0.000165934,0.000165934
24,745.181,0.96702,1.98622,1.22487,0.55465,0.53653,0.54045,0.35973,1.40802,4.31195,1.54552,0.000160112,0.000160112,0.000160112
25,774.529,0.98329,2.07025,1.23196,0.59966,0.51915,0.5592,0.37911,1.35569,4.12074,1.51217,0.000154291,0.000154291,0.000154291
26,803.833,0.98914,2.08907,1.2361,0.63167,0.48869,0.55989,0.37564,1.40005,4.3102,1.55249,0.00014847,0.00014847,0.00014847
27,833.005,0.96731,2.01142,1.22322,0.55919,0.53935,0.56002,0.37381,1.37227,4.21147,1.53656,0.000142649,0.000142649,0.000142649
28,862.165,0.95488,1.9781,1.21887,0.56625,0.54501,0.55812,0.37142,1.37879,4.24285,1.5434,0.000136828,0.000136828,0.000136828
29,891.361,0.95886,1.95499,1.21358,0.61983,0.50803,0.56108,0.38149,1.33556,4.20948,1.49594,0.000131006,0.000131006,0.000131006
30,920.65,0.95645,1.95817,1.21668,0.57421,0.54381,0.56589,0.38704,1.33796,4.28297,1.49907,0.000125185,0.000125185,0.000125185
31,949.799,0.94252,1.91145,1.20825,0.65874,0.50275,0.56571,0.39073,1.32823,4.20958,1.50694,0.000119364,0.000119364,0.000119364
32,979.1,0.94192,1.91724,1.20722,0.63504,0.53061,0.57245,0.39022,1.32722,4.21488,1.50021,0.000113543,0.000113543,0.000113543
33,1008.33,0.93782,1.90346,1.20715,0.57976,0.5313,0.5637,0.38879,1.32655,4.4018,1.49552,0.000107722,0.000107722,0.000107722
34,1037.51,0.94367,1.95572,1.21034,0.56791,0.52887,0.55283,0.38194,1.32118,4.50059,1.49163,0.0001019,0.0001019,0.0001019
35,1066.65,0.92016,1.85689,1.19584,0.6402,0.50281,0.56737,0.38979,1.33144,4.43346,1.51049,9.60792e-05,9.60792e-05,9.60792e-05
36,1095.86,0.92106,1.87461,1.20331,0.63635,0.4904,0.56015,0.39356,1.31506,4.37018,1.49501,9.0258e-05,9.0258e-05,9.0258e-05
37,1125.06,0.92486,1.82252,1.20082,0.56851,0.54074,0.5716,0.39935,1.3211,4.3507,1.49768,8.44368e-05,8.44368e-05,8.44368e-05
38,1154.14,0.89704,1.79118,1.18301,0.58123,0.52501,0.56044,0.38887,1.32356,4.46857,1.51102,7.86156e-05,7.86156e-05,7.86156e-05
39,1183.3,0.92701,1.86102,1.19729,0.62156,0.50114,0.56132,0.38651,1.32104,4.41784,1.49539,7.27944e-05,7.27944e-05,7.27944e-05
40,1212.46,0.89408,1.72073,1.17064,0.63249,0.50492,0.57654,0.40286,1.31356,4.34383,1.49917,6.69732e-05,6.69732e-05,6.69732e-05
41,1251.87,0.74245,1.00587,1.06648,0.67462,0.49763,0.56436,0.39445,1.321,4.31627,1.50855,6.1152e-05,6.1152e-05,6.1152e-05
42,1280.86,0.72459,0.93302,1.0512,0.5835,0.54246,0.56382,0.39578,1.30677,4.3864,1.50608,5.53308e-05,5.53308e-05,5.53308e-05
43,1309.85,0.72252,0.92122,1.06018,0.62645,0.49335,0.56113,0.39377,1.30582,4.31339,1.48702,4.95096e-05,4.95096e-05,4.95096e-05
44,1338.78,0.71447,0.91625,1.05226,0.66342,0.49018,0.55937,0.39428,1.29306,4.31818,1.486,4.36884e-05,4.36884e-05,4.36884e-05
45,1367.69,0.70359,0.88154,1.04778,0.67124,0.4904,0.56232,0.39445,1.30693,4.51533,1.50588,3.78672e-05,3.78672e-05,3.78672e-05
46,1396.7,0.69766,0.86389,1.04104,0.65332,0.49705,0.56671,0.39787,1.29613,4.40958,1.49804,3.2046e-05,3.2046e-05,3.2046e-05
47,1425.72,0.68957,0.86393,1.03695,0.66654,0.46682,0.55992,0.39375,1.28428,4.47276,1.48953,2.62248e-05,2.62248e-05,2.62248e-05
48,1454.6,0.67661,0.82115,1.03296,0.59983,0.512,0.56564,0.39991,1.29393,4.52234,1.49418,2.04036e-05,2.04036e-05,2.04036e-05
49,1483.6,0.69227,0.83673,1.0319,0.54649,0.54807,0.56432,0.39798,1.28849,4.49601,1.49164,1.45824e-05,1.45824e-05,1.45824e-05
50,1512.56,0.67465,0.82508,1.02766,0.66012,0.46823,0.56403,0.39857,1.28672,4.48374,1.49221,8.7612e-06,8.7612e-06,8.7612e-06
