epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1038,2.06441,4.30695,2.08307,0.09806,0.05969,0.02464,0.01291,1.87425,3.68878,2.04599,0.000157602,0.000157602,0.000157602
2,44.9756,1.79862,3.68653,1.87665,0.19217,0.16075,0.06569,0.03827,1.78204,3.19534,1.99792,0.000313137,0.000313137,0.000313137
3,66.9958,1.75017,3.12559,1.82832,0.16932,0.18933,0.13708,0.0745,1.73277,2.88213,1.93647,0.000465531,0.000465531,0.000465531
4,88.998,1.6837,2.84508,1.76635,0.20745,0.2365,0.17703,0.09964,1.6582,2.71108,1.8777,0.000461863,0.000461863,0.000461863
5,110.89,1.64384,2.72157,1.74269,0.26927,0.28011,0.21378,0.11572,1.62079,2.56877,1.83648,0.00045715,0.00045715,0.00045715
6,132.681,1.61237,2.60786,1.71215,0.27371,0.29186,0.22686,0.12863,1.58446,2.50521,1.81195,0.000452438,0.000452438,0.000452438
7,154.573,1.59983,2.51636,1.7047,0.28688,0.28654,0.23731,0.13138,1.55745,2.49371,1.82196,0.000447726,0.000447726,0.000447726
8,176.293,1.58755,2.46688,1.68857,0.29744,0.31582,0.2586,0.1429,1.54575,2.37701,1.78728,0.000443013,0.000443013,0.000443013
9,198.019,1.56333,2.40555,1.67172,0.33481,0.33622,0.28057,0.1572,1.51719,2.34727,1.76719,0.000438301,0.000438301,0.000438301
10,220.475,1.55654,2.40662,1.6718,0.31402,0.36258,0.29147,0.16315,1.52456,2.28278,1.75319,0.000433588,0.000433588,0.000433588
11,242.972,1.5552,2.30524,1.65942,0.35227,0.36086,0.29959,0.16737,1.49943,2.29418,1.7419,0.000428876,0.000428876,0.000428876
12,264.902,1.5272,2.25461,1.64174,0.32574,0.36986,0.29061,0.16349,1.51148,2.28535,1.73863,0.000424164,0.000424164,0.000424164
13,286.681,1.53551,2.22871,1.64118,0.34259,0.39782,0.31927,0.18016,1.49366,2.19279,1.72584,0.000419451,0.000419451,0.000419451
14,308.633,1.51422,2.20647,1.62677,0.36513,0.39575,0.33021,0.18624,1.4825,2.16512,1.71772,0.000414739,0.000414739,0.000414739
15,330.289,1.50764,2.15533,1.62566,0.39993,0.40089,0.3542,0.19951,1.47406,2.13573,1.71653,0.000410026,0.000410026,0.000410026
16,351.971,1.49535,2.12257,1.6131,0.35915,0.41993,0.35344,0.1962,1.48489,2.12247,1.70088,0.000405314,0.000405314,0.000405314
17,373.804,1.49371,2.08956,1.60262,0.35706,0.4104,0.35536,0.20501,1.45147,2.08104,1.68962,0.000400602,0.000400602,0.000400602
18,395.497,1.48561,2.05484,1.59765,0.38141,0.43482,0.36928,0.21027,1.4575,2.08259,1.68201,0.000395889,0.000395889,0.000395889
19,417.202,1.48077,2.03944,1.59997,0.39712,0.43832,0.38024,0.21545,1.47215,2.02876,1.69779,0.000391177,0.000391177,0.000391177
20,438.895,1.48932,2.02212,1.59173,0.41412,0.4124,0.37642,0.21364,1.45416,2.05947,1.70101,0.000386464,0.000386464,0.000386464
21,460.389,1.47,2.02501,1.59357,0.38147,0.43881,0.38564,0.22019,1.44705,2.01712,1.6814,0.000381752,0.000381752,0.000381752
22,482.008,1.46757,1.97658,1.57901,0.42275,0.46758,0.4078,0.23533,1.45158,2.00287,1.67146,0.00037704,0.00037704,0.00037704
23,503.618,1.45401,1.95553,1.56932,0.44458,0.43469,0.41498,0.23649,1.43683,1.94256,1.66336,0.000372327,0.000372327,0.000372327
24,525.23,1.46427,1.94471,1.57768,0.43767,0.45595,0.42089,0.24005,1.42673,1.92771,1.66582,0.000367615,0.000367615,0.000367615
25,546.871,1.45577,1.91795,1.56813,0.42505,0.47532,0.43348,0.24911,1.43238,1.92818,1.65738,0.000362902,0.000362902,0.000362902
26,568.737,1.44408,1.90789,1.56439,0.41328,0.45859,0.42389,0.24465,1.42451,1.89705,1.65767,0.00035819,0.00035819,0.00035819
27,590.16,1.44335,1.89457,1.56806,0.44493,0.47352,0.42904,0.24738,1.43667,1.92073,1.66811,0.000353478,0.000353478,0.000353478
28,611.812,1.44135,1.86539,1.55958,0.43812,0.47049,0.4284,0.24886,1.42541,1.92824,1.64618,0.000348765,0.000348765,0.000348765
29,633.211,1.43361,1.86095,1.55177,0.44532,0.46555,0.43263,0.24963,1.41756,1.90239,1.64329,0.000344053,0.000344053,0.000344053
30,654.54,1.43689,1.88247,1.56506,0.4692,0.48941,0.44825,0.25973,1.41609,1.87579,1.64175,0.00033934,0.00033934,0.00033934
31,675.704,1.41356,1.85689,1.54977,0.4563,0.47949,0.45007,0.25926,1.41772,1.83337,1.6403,0.000334628,0.000334628,0.000334628
32,697.061,1.4275,1.82781,1.54847,0.45775,0.47274,0.43358,0.25222,1.41665,1.89219,1.64548,0.000329916,0.000329916,0.000329916
33,718.461,1.43169,1.78502,1.54076,0.45118,0.49783,0.45676,0.26551,1.41311,1.81147,1.63612,0.000325203,0.000325203,0.000325203
34,739.785,1.41634,1.78284,1.54006,0.46972,0.49077,0.46166,0.26605,1.40372,1.79162,1.63874,0.000320491,0.000320491,0.000320491
