epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.514,1.38745,3.98996,1.61367,0.1976,0.33069,0.14875,0.10241,1.32662,2.8405,1.47736,9.72097e-05,9.72097e-05,9.72097e-05
2,74.0676,1.27512,2.76284,1.43578,0.24025,0.33734,0.24538,0.1712,1.31848,2.39837,1.47269,0.000193277,0.000193277,0.000193277
3,103.348,1.30081,2.5072,1.43851,0.28959,0.34397,0.25832,0.15369,1.42521,2.68013,1.54447,0.000287404,0.000287404,0.000287404
4,132.293,1.30882,2.31044,1.42363,0.47359,0.34761,0.34067,0.22523,1.29848,2.00571,1.42484,0.000285268,0.000285268,0.000285268
5,161.507,1.2682,2.14228,1.40703,0.28738,0.40998,0.31681,0.20218,1.32211,1.99792,1.43851,0.000282358,0.000282358,0.000282358
6,190.607,1.25981,2.09839,1.41223,0.40975,0.44589,0.37884,0.24639,1.30525,1.90639,1.44248,0.000279447,0.000279447,0.000279447
7,219.822,1.25207,2.02367,1.40909,0.4384,0.46801,0.42221,0.28523,1.29347,1.89457,1.44114,0.000276536,0.000276536,0.000276536
8,249.02,1.23459,1.93644,1.39309,0.42658,0.47723,0.44237,0.28783,1.27482,1.816,1.39625,0.000273626,0.000273626,0.000273626
9,277.971,1.23086,1.89093,1.38592,0.4357,0.49651,0.48437,0.32461,1.28072,1.64537,1.41255,0.000270715,0.000270715,0.000270715
10,306.879,1.22064,1.84082,1.37654,0.33213,0.45514,0.38305,0.25593,1.33614,1.92803,1.49662,0.000267805,0.000267805,0.000267805
11,335.85,1.21335,1.76985,1.36279,0.49562,0.51017,0.50345,0.34617,1.23606,1.57362,1.38933,0.000264894,0.000264894,0.000264894
12,364.809,1.19102,1.70039,1.36195,0.54624,0.40736,0.41861,0.27865,1.30296,1.80979,1.41274,0.000261983,0.000261983,0.000261983
13,393.789,1.17429,1.66674,1.3532,0.51998,0.47854,0.49728,0.32964,1.25872,1.60461,1.41202,0.000259073,0.000259073,0.000259073
14,422.733,1.17953,1.6485,1.36935,0.398,0.52956,0.47161,0.3238,1.25277,1.63071,1.41254,0.000256162,0.000256162,0.000256162
15,451.738,1.19236,1.61692,1.36714,0.41914,0.49598,0.44835,0.30232,1.274,1.71834,1.41026,0.000253252,0.000253252,0.000253252
16,480.65,1.15542,1.52809,1.33336,0.48603,0.44809,0.45129,0.30549,1.26044,1.70026,1.3994,0.000250341,0.000250341,0.000250341
17,509.604,1.15105,1.53888,1.34608,0.42594,0.54008,0.51119,0.35189,1.26906,1.63706,1.4108,0.00024743,0.00024743,0.00024743
18,538.529,1.15424,1.47718,1.33174,0.45996,0.52071,0.49545,0.34594,1.25679,1.62736,1.41213,0.00024452,0.00024452,0.00024452
19,567.462,1.14881,1.47015,1.33704,0.49093,0.54304,0.535,0.36552,1.24228,1.48497,1.39416,0.000241609,0.000241609,0.000241609
20,596.442,1.12178,1.4175,1.31441,0.52151,0.51162,0.51117,0.35113,1.21602,1.52581,1.38093,0.000238699,0.000238699,0.000238699
21,625.397,1.13603,1.39328,1.32241,0.44921,0.53459,0.49491,0.34183,1.2513,1.52443,1.41538,0.000235788,0.000235788,0.000235788
22,654.393,1.12114,1.37,1.31285,0.48132,0.49394,0.47659,0.33135,1.26003,1.63305,1.43822,0.000232877,0.000232877,0.000232877
23,683.418,1.11323,1.38442,1.31216,0.47204,0.49089,0.4866,0.33626,1.24827,1.56637,1.4145,0.000229967,0.000229967,0.000229967
