epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1633,0.94746,0.86038,1.20113,0.59486,0.5458,0.58206,0.41048,1.24146,1.52911,1.40843,9.72097e-05,9.72097e-05,9.72097e-05
2,61.182,0.93006,0.86518,1.19077,0.55024,0.5472,0.57157,0.39051,1.25207,1.48787,1.4284,0.000193277,0.000193277,0.000193277
3,90.6998,0.98136,0.95084,1.21196,0.53098,0.53294,0.53647,0.36702,1.26522,1.63139,1.43976,0.000287404,0.000287404,0.000287404
4,120.374,0.99521,1.00586,1.22377,0.44952,0.51882,0.49551,0.34076,1.2744,1.71226,1.44837,0.000285268,0.000285268,0.000285268
5,150.233,0.98323,0.99598,1.22832,0.62674,0.48403,0.54749,0.37619,1.25267,1.55485,1.44304,0.000282358,0.000282358,0.000282358
6,179.916,0.98582,1.01708,1.22854,0.50793,0.55614,0.53707,0.36684,1.26061,1.66543,1.43441,0.000279447,0.000279447,0.000279447
7,209.672,0.99425,1.00387,1.23473,0.59531,0.50836,0.54035,0.37312,1.26929,1.58051,1.44909,0.000276536,0.000276536,0.000276536
8,239.425,0.98664,0.98245,1.233,0.53015,0.53719,0.53973,0.37026,1.26926,1.58051,1.42974,0.000273626,0.000273626,0.000273626
9,269.351,0.98777,0.98518,1.22669,0.53533,0.52555,0.5349,0.37302,1.26464,1.52755,1.44725,0.000270715,0.000270715,0.000270715
10,299.288,0.98427,0.97854,1.22272,0.58933,0.49284,0.53745,0.38053,1.27593,1.581,1.45951,0.000267805,0.000267805,0.000267805
11,331.722,0.98041,0.96403,1.21944,0.53507,0.52325,0.53077,0.36783,1.27913,1.58848,1.45253,0.000264894,0.000264894,0.000264894
12,362.988,0.96763,0.92407,1.21656,0.55693,0.51719,0.53318,0.37248,1.26639,1.55856,1.42572,0.000261983,0.000261983,0.000261983
13,394.445,0.9609,0.92138,1.2061,0.55136,0.51075,0.52111,0.36714,1.25926,1.72264,1.42699,0.000259073,0.000259073,0.000259073
14,427.141,0.97014,0.93467,1.21913,0.52857,0.48477,0.5165,0.35227,1.27976,1.58587,1.46506,0.000256162,0.000256162,0.000256162
15,458.9,0.97446,0.93549,1.21625,0.56364,0.51518,0.55031,0.37496,1.27918,1.55124,1.46021,0.000253252,0.000253252,0.000253252
16,493.146,0.93004,0.87677,1.18638,0.56844,0.50574,0.52069,0.35276,1.29988,1.66574,1.44836,0.000250341,0.000250341,0.000250341
17,526.395,0.93989,0.89202,1.20398,0.56323,0.53815,0.55514,0.38128,1.2744,1.58887,1.46163,0.00024743,0.00024743,0.00024743
18,559.917,0.94837,0.85107,1.19525,0.56381,0.52713,0.55076,0.38165,1.27687,1.5245,1.44669,0.00024452,0.00024452,0.00024452
19,594.772,0.94793,0.86844,1.20427,0.61395,0.51261,0.55066,0.37477,1.28582,1.59435,1.4626,0.000241609,0.000241609,0.000241609
20,625.64,0.92717,0.83852,1.1833,0.50094,0.53984,0.53062,0.36768,1.26478,1.60499,1.44508,0.000238699,0.000238699,0.000238699
21,656.351,0.92673,0.83283,1.18771,0.54849,0.52098,0.54314,0.36676,1.28279,1.57641,1.44855,0.000235788,0.000235788,0.000235788
22,686.965,0.91961,0.82131,1.17679,0.58061,0.50353,0.55614,0.3908,1.27333,1.59808,1.45007,0.000232877,0.000232877,0.000232877
23,718.578,0.91819,0.82166,1.1844,0.54703,0.52678,0.54071,0.38028,1.28022,1.58032,1.45609,0.000229967,0.000229967,0.000229967
24,749.407,0.89364,0.79958,1.16811,0.51673,0.5436,0.54618,0.37629,1.29039,1.59617,1.45558,0.000227056,0.000227056,0.000227056
25,784.32,0.90179,0.78157,1.16635,0.60431,0.50353,0.55763,0.38674,1.28414,1.50747,1.452,0.000224146,0.000224146,0.000224146
26,814.871,0.90045,0.8007,1.17074,0.57009,0.54885,0.5529,0.38311,1.28033,1.52801,1.46202,0.000221235,0.000221235,0.000221235
27,846.26,0.89932,0.77736,1.16492,0.57153,0.52905,0.55214,0.38131,1.28648,1.57562,1.46308,0.000218324,0.000218324,0.000218324
28,877.544,0.88479,0.76963,1.16048,0.61874,0.52628,0.57189,0.39148,1.25794,1.56956,1.4526,0.000215414,0.000215414,0.000215414
29,907.902,0.89174,0.76345,1.15693,0.60144,0.51776,0.56269,0.39713,1.25576,1.57791,1.45347,0.000212503,0.000212503,0.000212503
30,938.371,0.88606,0.75302,1.16093,0.5614,0.53987,0.56366,0.38906,1.28391,1.63724,1.45624,0.000209593,0.000209593,0.000209593
31,969.741,0.85946,0.74992,1.15076,0.61074,0.52548,0.57601,0.39264,1.29959,1.57682,1.4871,0.000206682,0.000206682,0.000206682
32,1002.9,0.87483,0.73547,1.14843,0.58334,0.55624,0.57216,0.39277,1.28244,1.53674,1.46224,0.000203771,0.000203771,0.000203771
33,1035.8,0.8624,0.71093,1.13935,0.60597,0.55042,0.58633,0.40051,1.27595,1.61543,1.45796,0.000200861,0.000200861,0.000200861
34,1068.83,0.87405,0.73065,1.14488,0.5825,0.54616,0.57768,0.39713,1.29382,1.56749,1.47872,0.00019795,0.00019795,0.00019795
35,1102.78,0.86573,0.72118,1.13865,0.59759,0.54259,0.57606,0.39847,1.28091,1.58948,1.47232,0.00019504,0.00019504,0.00019504
36,1136.03,0.85113,0.70552,1.1339,0.60919,0.5082,0.5579,0.393,1.28164,1.67774,1.48428,0.000192129,0.000192129,0.000192129
37,1169.47,0.85532,0.70895,1.14206,0.60124,0.55323,0.58071,0.40038,1.28874,1.59462,1.46619,0.000189218,0.000189218,0.000189218
38,1200.25,0.84669,0.69192,1.14176,0.5706,0.55886,0.57274,0.40239,1.25745,1.57344,1.44983,0.000186308,0.000186308,0.000186308
39,1231.4,0.83583,0.69311,1.13456,0.63419,0.47627,0.55108,0.38655,1.26684,1.66117,1.45826,0.000183397,0.000183397,0.000183397
40,1263.26,0.85166,0.68163,1.13182,0.59057,0.54998,0.56208,0.38464,1.28586,1.64202,1.47095,0.000180487,0.000180487,0.000180487
41,1294.55,0.81516,0.6753,1.12217,0.55961,0.55015,0.56373,0.39519,1.27305,1.70959,1.47481,0.000177576,0.000177576,0.000177576
42,1325.91,0.82852,0.6606,1.12472,0.58445,0.53108,0.55802,0.39111,1.28092,1.62193,1.48084,0.000174665,0.000174665,0.000174665
43,1358.21,0.80831,0.65166,1.11248,0.58878,0.56436,0.57338,0.40256,1.28602,1.59877,1.49223,0.000171755,0.000171755,0.000171755
44,1390.8,0.81664,0.65957,1.11354,0.60289,0.53261,0.56388,0.39372,1.27309,1.6379,1.47611,0.000168844,0.000168844,0.000168844
45,1422.97,0.80836,0.65738,1.11844,0.63265,0.51864,0.57105,0.40094,1.26098,1.62945,1.46781,0.000165934,0.000165934,0.000165934
46,1456.02,0.80476,0.63518,1.10678,0.56641,0.53439,0.55932,0.39386,1.27318,1.67526,1.46087,0.000163023,0.000163023,0.000163023
47,1489.11,0.80338,0.63555,1.10753,0.56623,0.55643,0.5582,0.39104,1.27138,1.69511,1.4797,0.000160112,0.000160112,0.000160112
